"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","9","","Task20.ZipCodesTest","","Task20.ZipCodesTest","duplicateValidationInZipCodeListTest","duplicateValidationInZipCodeListTest()","Scenario #3: Add duplicated Zip Codes which don't exist in the Zip Codes list"
"failed","Tue Feb 13 22:26:12 GMT 2024","Tue Feb 13 22:26:12 GMT 2024","30","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPutMethodTest","updateUserWithPutMethodTest()","Scenario 1: Update user using put method"
"failed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","167","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithoutNameTest","uploadUserWithoutNameTest()","Scenario 3: Update user without user name"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","45","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithoutSexTest","deleteUserWithoutSexTest()","Scenario 3: Delete user without sex"
"passed","Tue Feb 13 22:26:12 GMT 2024","Tue Feb 13 22:26:12 GMT 2024","58","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithPatchMethodTest","updateUserWithPatchMethodTest()","Scenario 1: Update user using patch method"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","77","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithoutNameTest","deleteUserWithoutNameTest()","Scenario 3: Delete user without user name"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","56","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersYoungerThanTest","filterUsersYoungerThanTest()","Scenario #2: Filter users by younger than parameter"
"failed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","9","","Task20.ZipCodesTest","","Task20.ZipCodesTest","getAllAvailableZipCodeTest","getAllAvailableZipCodeTest()","Scenario #1: Get the list of all available Zip Codes"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","32","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithTheSameNameAndSexTest","createUserWithTheSameNameAndSexTest()","Scenario #4: Create user with the same sex and name"
"passed","Tue Feb 13 22:26:08 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","2909","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithAllFieldsTest","deleteUserWithAllFieldsTest()","Scenario 1: Delete user with all fields"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","12","","Task30.CreateUserTest","","Task30.CreateUserTest","createUserWithUnavailableZipCodeTest","createUserWithUnavailableZipCodeTest()","Scenario #3: Create user with unavailable zip code"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","19","","Task40.GetFilteredUsersTest","","Task40.GetFilteredUsersTest","filterUsersByFemaleSexTest","filterUsersByFemaleSexTest()","Scenario 3: Filter users by sex (Female) parameter"
"passed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","71","","Task60.DeleteUserTest","","Task60.DeleteUserTest","deleteUserWithOnlyRequiredFieldsTest","deleteUserWithOnlyRequiredFieldsTest()","Scenario 2: Delete user with only required fields"
"failed","Tue Feb 13 22:26:11 GMT 2024","Tue Feb 13 22:26:11 GMT 2024","16","","Task70.UploadUserTest","","Task70.UploadUserTest","uploadUserWithoutSexTest","uploadUserWithoutSexTest()","Scenario 3: Update user without sex"
"passed","Tue Feb 13 22:26:12 GMT 2024","Tue Feb 13 22:26:12 GMT 2024","20","","Task50.UpdateUserTest","","Task50.UpdateUserTest","updateUserWithUnavailableZipCodeTest","updateUserWithUnavailableZipCodeTest()","Scenario 2: Update user with unavailable zip code"
